Command,Name,Description,Operations,Data type,Units,Min,Max,Internal
r_fw,Firmware version,Device Firmware Version,r,string,dimensionless,N/A,N/A,No
rw_slp_m,Time sleep min,Minutes to sleep between measurements,rw,uint8_t,minutes,0,20,No
rw_slp_s,Time sleep secs,Seconds to sleep between measurements,rw,uint8_t,seconds,0,59,No
rw_ka_h,Time keep alive,Time to send keep-alive,rw,uint8_t,hours,0,24,No
rw_nm,Night mode,Night-mode working mode (0: Disabled / 1: Light / 2: Deep),rw,uint8_t,dimensionless,0,5,No
rw_nm_start,Night mode start hour (UTC),Night Mode Start Hour (UTC),rw,uint8_t,hours,0,23,No
rw_nm_dur_h,Night mode duration,Night Mode Duration,rw,uint8_t,hours,1,12,No
rw_nm_slp_m,Night mode time to sleep,Night Mode Sleep Time,rw,uint8_t,minutes,1,20,No
rw_rdr_st,Radar range start,Radar Range Start,rw,uint8_t,centimeters,20,40,Yes
rw_rdr_len,Radar range length,Radar Range Length,rw,uint8_t,centimeters,40,120,Yes
rw_rdr_th,Radar threshold,Radar Threshold,rw,uint16_t,db,1000,5000,Yes
rw_rpt_days,Sync report frequency,Days to send sync report,rw,uint8_t,days,0,30,No
rw_lw_adr,LoRaWAN ADR,LoRaWAN Adaptative Data Rate,rw,uint8_t,dimensionless,0,1,No
rw_lw_ts_hh,LoRaWAN timestamp hours,LoRaWAN timestamp hours,rw,uint8_t,hours,0,23,No
rw_lw_ts_mm,LoRaWAN timestamp minutes,LoRaWAN timestamp minutes,rw,uint8_t,minutes,0,60,No
rw_ps_detection,Power saving detection (PS),Enable/disable power saving detection algorithm using magnetic field variations,rw,bool,dimensionless,N/A,N/A,No
rw_radio_timeout_s,Connection timeout,Timeout in seconds for radio send,rw,uint8_t,seconds,15,50,No
rw_dchk_s,Double check delay,Seconds to wait before repeating radar measurement after occupied slot change to confirm it,rw,uint8_t,seconds,0,255,No
rw_ble_per_m,BLE scan period,Minutes between BLE scans,rw,uint8_t,minutes,5,90,No
rw_snd_retries,Loop send retries,Number of sending retries for each loop,rw,uint8_t,dimensionless,0,3,No
rw_ble_adv_en,BLE adv enable,Allows initial bluetooth connection with external app (0: Disabled),rw,uint8_t,dimensionless,0,1,No
rw_lw_adr,LoRaWAN ADR,LoRaWAN ADR flag,r,bool,dimensionless,N/A,N/A,No
r_snd_ctr,Send counter,Sending loop number,r,uint32_t,dimensionless,N/A,N/A,No
r_bat,Battery voltage,Battery voltage,r,float,millivolts,N/A,N/A,No
r_bat_warn,Low battery warning,Low battery voltage warning,r,bool,dimensionless,N/A,N/A,No
r_prk_slot,Slot status,Parking slot status,r,uint8_t,dimensionless,N/A,N/A,No
r_rdr_error,Radar error,Radar sensor error (if occurs),r,uint8_t,dimensionless,N/A,N/A,No
r_rdr_refs,Radar reflections,Radar sensor number of reflections,r,uint8_t,dimensionless,N/A,N/A,No
r_rdr_amp,Radar amplitude,Radar sensor signal amplitude,r,float,db,N/A,N/A,No
r_rdr_dis,Radar distance,Radar sensor distance measured,r,uint8_t,centimeters,N/A,N/A,No
r_rdr_sens,Radar sensitivity,Radar sensor sensitivity (x100000),r,uint16_t,dimensionless,N/A,N/A,No
r_doubt,Doubtful detection,Doubtful detection flag,r,bool,dimensionless,N/A,N/A,No
r_temp,Internal temperature,Device internal temperature in celsius,r,float,celsius degrees,N/A,N/A,No
r_rst_cause,Last reset cause,Device last reset cause,r,uint8_t,dimensionless,N/A,N/A,No
r_lw_ack,LoRaWAN ACK,LoRaWAN acknowledgment (0) or NACK (1),r,uint8_t,dimensionless,0,1,No
r_lw_frame,LoRaWAN frame type,LoRaWAN frame type,r,uint8_t,dimensionless,0,10,No
r_lw_rtc_sync_flag,LoRaWAN RTC sync flag,LoRaWAN RTC sync flag (0: not sync),r,uint8_t,dimensionless,0,1,No
r_ble_serial_1,BLE scan serial for Parking Tag 1,BLE scan serial for Parking Tag 1,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_2,BLE scan serial for Parking Tag 2,BLE scan serial for Parking Tag 2,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_3,BLE scan serial for Parking Tag 3,BLE scan serial for Parking Tag 3,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_4,BLE scan serial for Parking Tag 4,BLE scan serial for Parking Tag 4,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_5,BLE scan serial for Parking Tag 5,BLE scan serial for Parking Tag 5,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_rssi_1,BLE scan RSSI for Parking Tag 1,BLE scan RSSI for Parking Tag 1,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_2,BLE scan RSSI for Parking Tag 2,BLE scan RSSI for Parking Tag 2,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_3,BLE scan RSSI for Parking Tag 3,BLE scan RSSI for Parking Tag 3,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_4,BLE scan RSSI for Parking Tag 4,BLE scan RSSI for Parking Tag 4,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_5,BLE scan RSSI for Parking Tag 5,BLE scan RSSI for Parking Tag 5,r,int8_t,dbm,N/A,N/A,No
reconfigure,Reconfigure,Reconfigure device parameters,w,string,dimensionless,N/A,N/A,Yes
r_lw_dr,LoRaWAN Data Rate,LoRaWAN Data Rate,r,uint8_t,dimensionless,0,10,No
r_lw_fcnt,LoRaWAN frame counter,LoRaWAN frame counter,r,uint32_t,dimensionless,0,4294967295,No
r_lw_fport,LoRaWAN port,LoRaWAN port,r,uint8_t,dimensionless,1,223,No
r_lw_confirmed,Confirmed flag,Confirmed flag,r,bool,dimensionless,N/A,N/A,No
r_lw_gw_id,Gateway Id,Gateway Identifier,r,string,dimensionless,N/A,N/A,No
r_rssi,RSSI,RSSI signal quality,r,int8_t,dbm,N/A,N/A,No
r_snr,SNR,SNR signal quality,r,int8_t,db,N/A,N/A,No
